,timestamp
97,2020-07-24 14:45:02.766259
98,2020-07-24 14:45:02.852524
99,2020-07-24 14:45:02.878450
100,2020-07-24 14:45:02.889382
101,2020-07-24 14:45:02.910241
102,2020-07-24 14:45:02.943185
103,2020-07-24 14:45:02.974914
104,2020-07-24 14:45:03.007385
105,2020-07-24 14:45:03.039613
106,2020-07-24 14:45:03.072245
107,2020-07-24 14:45:03.104327
108,2020-07-24 14:45:03.135925
109,2020-07-24 14:45:03.168684
110,2020-07-24 14:45:03.234990
111,2020-07-24 14:45:03.263293
112,2020-07-24 14:45:03.314921
113,2020-07-24 14:45:03.343019
114,2020-07-24 14:45:03.354134
115,2020-07-24 14:45:03.374398
116,2020-07-24 14:45:03.406766
117,2020-07-24 14:45:03.440560
118,2020-07-24 14:45:03.473109
119,2020-07-24 14:45:03.503942
120,2020-07-24 14:45:03.536936
121,2020-07-24 14:45:03.568567
122,2020-07-24 14:45:03.637504
123,2020-07-24 14:45:03.663423
124,2020-07-24 14:45:03.694064
125,2020-07-24 14:45:03.726553
126,2020-07-24 14:45:03.777764
127,2020-07-24 14:45:03.807222
128,2020-07-24 14:45:03.825058
129,2020-07-24 14:45:03.840278
130,2020-07-24 14:45:03.869939
131,2020-07-24 14:45:03.902480
132,2020-07-24 14:45:03.934123
133,2020-07-24 14:45:03.966035
134,2020-07-24 14:45:04.034191
135,2020-07-24 14:45:04.062450
136,2020-07-24 14:45:04.096051
137,2020-07-24 14:45:04.128062
138,2020-07-24 14:45:04.160145
139,2020-07-24 14:45:04.191901
140,2020-07-24 14:45:04.242590
141,2020-07-24 14:45:04.270791
142,2020-07-24 14:45:04.292727
143,2020-07-24 14:45:04.308814
144,2020-07-24 14:45:04.341150
145,2020-07-24 14:45:04.368620
146,2020-07-24 14:45:04.432834
147,2020-07-24 14:45:04.465897
148,2020-07-24 14:45:04.498056
149,2020-07-24 14:45:04.528080
150,2020-07-24 14:45:04.560720
151,2020-07-24 14:45:04.592132
152,2020-07-24 14:45:04.624636
153,2020-07-24 14:45:04.655019
154,2020-07-24 14:45:04.702304
155,2020-07-24 14:45:04.734666
156,2020-07-24 14:45:04.746273
